original__000	C:\Users\admin\Documents\te\datasets\ffpp\original\000.mp4
original__001	C:\Users\admin\Documents\te\datasets\ffpp\original\001.mp4
original__002	C:\Users\admin\Documents\te\datasets\ffpp\original\002.mp4
original__003	C:\Users\admin\Documents\te\datasets\ffpp\original\003.mp4
original__004	C:\Users\admin\Documents\te\datasets\ffpp\original\004.mp4
original__005	C:\Users\admin\Documents\te\datasets\ffpp\original\005.mp4
original__006	C:\Users\admin\Documents\te\datasets\ffpp\original\006.mp4
original__007	C:\Users\admin\Documents\te\datasets\ffpp\original\007.mp4
original__008	C:\Users\admin\Documents\te\datasets\ffpp\original\008.mp4
original__009	C:\Users\admin\Documents\te\datasets\ffpp\original\009.mp4
original__011	C:\Users\admin\Documents\te\datasets\ffpp\original\011.mp4
original__012	C:\Users\admin\Documents\te\datasets\ffpp\original\012.mp4
original__013	C:\Users\admin\Documents\te\datasets\ffpp\original\013.mp4
original__014	C:\Users\admin\Documents\te\datasets\ffpp\original\014.mp4
original__015	C:\Users\admin\Documents\te\datasets\ffpp\original\015.mp4
original__016	C:\Users\admin\Documents\te\datasets\ffpp\original\016.mp4
original__017	C:\Users\admin\Documents\te\datasets\ffpp\original\017.mp4
original__018	C:\Users\admin\Documents\te\datasets\ffpp\original\018.mp4
original__019	C:\Users\admin\Documents\te\datasets\ffpp\original\019.mp4
original__020	C:\Users\admin\Documents\te\datasets\ffpp\original\020.mp4
original__021	C:\Users\admin\Documents\te\datasets\ffpp\original\021.mp4
original__022	C:\Users\admin\Documents\te\datasets\ffpp\original\022.mp4
original__024	C:\Users\admin\Documents\te\datasets\ffpp\original\024.mp4
original__026	C:\Users\admin\Documents\te\datasets\ffpp\original\026.mp4
original__027	C:\Users\admin\Documents\te\datasets\ffpp\original\027.mp4
original__028	C:\Users\admin\Documents\te\datasets\ffpp\original\028.mp4
original__029	C:\Users\admin\Documents\te\datasets\ffpp\original\029.mp4
original__031	C:\Users\admin\Documents\te\datasets\ffpp\original\031.mp4
original__032	C:\Users\admin\Documents\te\datasets\ffpp\original\032.mp4
original__033	C:\Users\admin\Documents\te\datasets\ffpp\original\033.mp4
original__034	C:\Users\admin\Documents\te\datasets\ffpp\original\034.mp4
original__035	C:\Users\admin\Documents\te\datasets\ffpp\original\035.mp4
original__036	C:\Users\admin\Documents\te\datasets\ffpp\original\036.mp4
original__037	C:\Users\admin\Documents\te\datasets\ffpp\original\037.mp4
original__038	C:\Users\admin\Documents\te\datasets\ffpp\original\038.mp4
original__040	C:\Users\admin\Documents\te\datasets\ffpp\original\040.mp4
original__041	C:\Users\admin\Documents\te\datasets\ffpp\original\041.mp4
original__042	C:\Users\admin\Documents\te\datasets\ffpp\original\042.mp4
original__043	C:\Users\admin\Documents\te\datasets\ffpp\original\043.mp4
original__045	C:\Users\admin\Documents\te\datasets\ffpp\original\045.mp4
original__046	C:\Users\admin\Documents\te\datasets\ffpp\original\046.mp4
original__047	C:\Users\admin\Documents\te\datasets\ffpp\original\047.mp4
original__048	C:\Users\admin\Documents\te\datasets\ffpp\original\048.mp4
original__049	C:\Users\admin\Documents\te\datasets\ffpp\original\049.mp4
original__050	C:\Users\admin\Documents\te\datasets\ffpp\original\050.mp4
original__051	C:\Users\admin\Documents\te\datasets\ffpp\original\051.mp4
original__052	C:\Users\admin\Documents\te\datasets\ffpp\original\052.mp4
original__053	C:\Users\admin\Documents\te\datasets\ffpp\original\053.mp4
original__056	C:\Users\admin\Documents\te\datasets\ffpp\original\056.mp4
original__057	C:\Users\admin\Documents\te\datasets\ffpp\original\057.mp4
original__058	C:\Users\admin\Documents\te\datasets\ffpp\original\058.mp4
original__061	C:\Users\admin\Documents\te\datasets\ffpp\original\061.mp4
original__062	C:\Users\admin\Documents\te\datasets\ffpp\original\062.mp4
original__064	C:\Users\admin\Documents\te\datasets\ffpp\original\064.mp4
original__065	C:\Users\admin\Documents\te\datasets\ffpp\original\065.mp4
original__068	C:\Users\admin\Documents\te\datasets\ffpp\original\068.mp4
original__069	C:\Users\admin\Documents\te\datasets\ffpp\original\069.mp4
original__071	C:\Users\admin\Documents\te\datasets\ffpp\original\071.mp4
original__073	C:\Users\admin\Documents\te\datasets\ffpp\original\073.mp4
original__074	C:\Users\admin\Documents\te\datasets\ffpp\original\074.mp4
original__075	C:\Users\admin\Documents\te\datasets\ffpp\original\075.mp4
original__077	C:\Users\admin\Documents\te\datasets\ffpp\original\077.mp4
original__079	C:\Users\admin\Documents\te\datasets\ffpp\original\079.mp4
original__080	C:\Users\admin\Documents\te\datasets\ffpp\original\080.mp4
original__081	C:\Users\admin\Documents\te\datasets\ffpp\original\081.mp4
original__082	C:\Users\admin\Documents\te\datasets\ffpp\original\082.mp4
original__083	C:\Users\admin\Documents\te\datasets\ffpp\original\083.mp4
original__084	C:\Users\admin\Documents\te\datasets\ffpp\original\084.mp4
original__085	C:\Users\admin\Documents\te\datasets\ffpp\original\085.mp4
original__087	C:\Users\admin\Documents\te\datasets\ffpp\original\087.mp4
original__089	C:\Users\admin\Documents\te\datasets\ffpp\original\089.mp4
original__090	C:\Users\admin\Documents\te\datasets\ffpp\original\090.mp4
original__091	C:\Users\admin\Documents\te\datasets\ffpp\original\091.mp4
original__092	C:\Users\admin\Documents\te\datasets\ffpp\original\092.mp4
original__093	C:\Users\admin\Documents\te\datasets\ffpp\original\093.mp4
original__094	C:\Users\admin\Documents\te\datasets\ffpp\original\094.mp4
original__095	C:\Users\admin\Documents\te\datasets\ffpp\original\095.mp4
original__097	C:\Users\admin\Documents\te\datasets\ffpp\original\097.mp4
original__098	C:\Users\admin\Documents\te\datasets\ffpp\original\098.mp4
original__099	C:\Users\admin\Documents\te\datasets\ffpp\original\099.mp4
original__100	C:\Users\admin\Documents\te\datasets\ffpp\original\100.mp4
original__102	C:\Users\admin\Documents\te\datasets\ffpp\original\102.mp4
original__103	C:\Users\admin\Documents\te\datasets\ffpp\original\103.mp4
original__104	C:\Users\admin\Documents\te\datasets\ffpp\original\104.mp4
original__105	C:\Users\admin\Documents\te\datasets\ffpp\original\105.mp4
original__106	C:\Users\admin\Documents\te\datasets\ffpp\original\106.mp4
original__108	C:\Users\admin\Documents\te\datasets\ffpp\original\108.mp4
original__109	C:\Users\admin\Documents\te\datasets\ffpp\original\109.mp4
original__111	C:\Users\admin\Documents\te\datasets\ffpp\original\111.mp4
original__112	C:\Users\admin\Documents\te\datasets\ffpp\original\112.mp4
original__113	C:\Users\admin\Documents\te\datasets\ffpp\original\113.mp4
original__114	C:\Users\admin\Documents\te\datasets\ffpp\original\114.mp4
original__115	C:\Users\admin\Documents\te\datasets\ffpp\original\115.mp4
original__116	C:\Users\admin\Documents\te\datasets\ffpp\original\116.mp4
original__117	C:\Users\admin\Documents\te\datasets\ffpp\original\117.mp4
original__118	C:\Users\admin\Documents\te\datasets\ffpp\original\118.mp4
original__119	C:\Users\admin\Documents\te\datasets\ffpp\original\119.mp4
original__121	C:\Users\admin\Documents\te\datasets\ffpp\original\121.mp4
original__122	C:\Users\admin\Documents\te\datasets\ffpp\original\122.mp4
